ep 129, a_n 56, epsilon 0.408, total_reward -24.114082834373512, step 11018
ep 130, a_n 49, epsilon 0.406, total_reward -19.386310220085438, step 11067
ep 131, a_n 35, epsilon 0.405, total_reward 3.2137764227422174, step 11102
ep 132, a_n 61, epsilon 0.403, total_reward -26.76223850529615, step 11163
ep 133, a_n 91, epsilon 0.399, total_reward -29.85673884787212, step 11254
ep 134, a_n 63, epsilon 0.397, total_reward -24.170359322604284, step 11317
ep 135, a_n 22, epsilon 0.396, total_reward 94.1481105440827, step 11339
ep 136, a_n 17, epsilon 0.396, total_reward 169.57804665414483, step 11356
ep 137, a_n 94, epsilon 0.393, total_reward -26.634331087491354, step 11450
ep 138, a_n 65, epsilon 0.390, total_reward -24.01991581506567, step 11515
ep 139, a_n 85, epsilon 0.387, total_reward -25.81339655052422, step 11600
ep 140, a_n 62, epsilon 0.385, total_reward -25.094020658659872, step 11662
ep 141, a_n 57, epsilon 0.383, total_reward -25.597946487141563, step 11719
ep 142, a_n 56, epsilon 0.382, total_reward -24.727192237763333, step 11775
ep 143, a_n 24, epsilon 0.381, total_reward 94.54330599045574, step 11799
ep 144, a_n 47, epsilon 0.379, total_reward -18.55677431381859, step 11846
ep 145, a_n 25, epsilon 0.378, total_reward 61.179541291701454, step 11871
ep 146, a_n 100, epsilon 0.375, total_reward -6.199077972369623, step 11971
ep 147, a_n 40, epsilon 0.374, total_reward 36.119320981815534, step 12011
ep 148, a_n 76, epsilon 0.371, total_reward -30.25627093911655, step 12087
ep 149, a_n 42, epsilon 0.370, total_reward 16.112069866222388, step 12129
ep 150, a_n 51, epsilon 0.368, total_reward -20.33368273506403, step 12180
ep 151, a_n 29, epsilon 0.367, total_reward 25.543230118476608, step 12209
ep 152, a_n 41, epsilon 0.366, total_reward 15.715599133383582, step 12250
ep 153, a_n 52, epsilon 0.364, total_reward -26.347954237279517, step 12302
ep 154, a_n 49, epsilon 0.363, total_reward -19.791857062858938, step 12351
ep 155, a_n 60, epsilon 0.361, total_reward -26.690173714037222, step 12411
ep 156, a_n 88, epsilon 0.358, total_reward -1.8121355380261122, step 12499
ep 157, a_n 45, epsilon 0.357, total_reward -16.728015034276034, step 12544
ep 158, a_n 30, epsilon 0.356, total_reward 28.22282667674586, step 12574
ep 159, a_n 51, epsilon 0.354, total_reward -19.390750831268626, step 12625
ep 160, a_n 74, epsilon 0.352, total_reward -26.634398865670963, step 12699
ep 161, a_n 35, epsilon 0.351, total_reward 4.603885225540889, step 12734
ep 162, a_n 22, epsilon 0.350, total_reward 119.13784293099636, step 12756
ep 163, a_n 40, epsilon 0.349, total_reward -11.696969633684217, step 12796
ep 164, a_n 23, epsilon 0.348, total_reward 82.97156766357047, step 12819
ep 165, a_n 32, epsilon 0.347, total_reward 13.991510655373414, step 12851
ep 166, a_n 63, epsilon 0.345, total_reward -25.546911046637717, step 12914
ep 167, a_n 33, epsilon 0.344, total_reward 8.380131837828767, step 12947
ep 168, a_n 29, epsilon 0.343, total_reward 63.38955431594937, step 12976
ep 169, a_n 44, epsilon 0.342, total_reward -17.689824869893144, step 13020
ep 170, a_n 25, epsilon 0.341, total_reward 58.223186137934334, step 13045
ep 171, a_n 58, epsilon 0.339, total_reward -28.517357415111558, step 13103
ep 172, a_n 36, epsilon 0.338, total_reward -2.734066518643079, step 13139
ep 173, a_n 32, epsilon 0.337, total_reward 39.733294807772666, step 13171
ep 174, a_n 39, epsilon 0.336, total_reward -8.053619221324443, step 13210
ep 175, a_n 30, epsilon 0.335, total_reward 49.27433153455557, step 13240
ep 176, a_n 34, epsilon 0.334, total_reward 32.23573017264447, step 13274
ep 177, a_n 100, epsilon 0.331, total_reward -30.26954354668133, step 13374
ep 178, a_n 38, epsilon 0.330, total_reward 9.776703209483125, step 13412
ep 179, a_n 35, epsilon 0.329, total_reward 2.6361884806602696, step 13447
ep 180, a_n 44, epsilon 0.328, total_reward -14.910247673491117, step 13491
ep 181, a_n 61, epsilon 0.326, total_reward -29.90632871183737, step 13552
ep 182, a_n 70, epsilon 0.324, total_reward -27.421271830770912, step 13622
ep 183, a_n 78, epsilon 0.322, total_reward -2.2528416725055944, step 13700
ep 184, a_n 21, epsilon 0.321, total_reward 101.47185096625945, step 13721
ep 185, a_n 44, epsilon 0.320, total_reward 12.051479291465359, step 13765
ep 186, a_n 64, epsilon 0.318, total_reward -28.44199435309623, step 13829
ep 187, a_n 38, epsilon 0.317, total_reward 23.62103866847067, step 13867
ep 188, a_n 100, epsilon 0.315, total_reward 0.10174264662875543, step 13967
